train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,4.866868230438232,12.25,59.3,0.11167340803146364
0.33000222009658814,0.6078222051620483,85.38,99.37,0.1139619519710541
0.1876130240535736,0.5435613824844361,86.67,99.46,0.1329550714492798
0.15541279871940614,0.5356923398017883,86.9,99.47,0.12272838401794435
0.13774511590957642,0.5303808732032775,87.27,99.52,0.149409759759903
0.12537345357894897,0.5387596174240112,87.27,99.47,0.15110547256469722
0.11584008643865586,0.5189323051452637,87.39,99.56,0.13844281649589538
0.1100185581612587,0.5244853704452515,87.58,99.55,0.11549881625175475
0.10223394325256348,0.5261757886886597,87.61,99.61,0.1703968000411987
0.1011280389213562,0.5182024965286255,88.09,99.58,0.1348116161823273
0.09397175460755824,0.5282659036636352,88.08,99.57,0.18701926350593556
