train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,5.321227354431152,11.22,61.05,0.12088825607299802
0.3388408335494995,0.583783997631073,85.48,99.47,0.11211267256736758
0.1882738482570648,0.5409173202037811,86.58,99.46,0.16696009588241575
0.15466349215626718,0.518364577794075,87.03,99.55,0.10911711931228638
0.13909929688453673,0.5205153036832809,87.36,99.58,0.1543178246021271
0.1277901833152771,0.5145380997657776,87.1,99.58,0.10754035139083863
0.11377810877323151,0.5148292136192322,87.53,99.62,0.1412309443950653
0.1108430697107315,0.5083991712093353,87.78,99.65,0.17307683253288267
0.10553202273368835,0.507831511592865,87.51,99.58,0.14180201554298402
0.09722009738683701,0.5224352620601654,87.87,99.57,0.18041049623489383
0.09592723275184631,0.5050434616565704,87.92,99.63,0.11753676867485048
