train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.305151784515381,10.0,50.0,0.19200921607017515
2.2640856438446044,2.187728736114502,16.78,69.78,0.2184641270637512
2.15268226272583,2.0875486030578614,18.65,81.29,0.14972624063491818
2.0632668197631836,2.01358264541626,19.86,84.88,0.1867540481090546
1.9908854791259765,1.9595545177459717,22.37,87.84,0.15491276764869688
1.9359173797988891,1.9152322221755982,24.98,89.37,0.14665935945510866
1.8903761379241943,1.8917932312011718,19.75,85.4,0.11977750420570372
1.8545795685577393,1.837187535095215,24.23,88.89,0.13364940834045408
1.8251772491073608,1.8155105312347413,24.08,89.17,0.16360639929771423
1.7990595555877686,1.7847077419281006,25.52,90.89,0.12812499237060546
1.7765586981201171,1.7676808422088623,26.5,91.11,0.19549692821502684
