train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.3051269088745117,10.32,49.8,0.020751008093357087
1.0994367235183715,0.5246650032997131,83.86,99.01,0.023371615916490555
0.42708956718444824,0.3246355355262756,90.33,99.45,0.021220095962285992
0.2835111379146576,0.25228260254859924,92.62,99.63,0.019653247982263564
0.2184264066060384,0.20051603194475173,93.95,99.78,0.019304319918155673
0.18209296062787375,0.1636757406204939,95.0,99.82,0.01983916813135147
0.15375965769290925,0.14858067730665206,95.44,99.82,0.023460768014192585
0.13627297954559325,0.14470393524765968,95.41,99.86,0.018222336143255233
0.12174020779132844,0.13092122767269612,95.93,99.84,0.027695360094308848
0.11053630554676055,0.12695806677564977,96.07,99.85,0.023745055973529817
0.10156071997284889,0.1204157712303102,96.32,99.89,0.019309760123491285
