train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.327997490692139,6.22,49.96,0.16937596845626832
1.6783474716949462,1.494910636329651,46.07,92.66,0.1550407683849335
1.3075087280654907,1.217839977645874,56.93,95.43,0.14176752018928532
1.1302354628753661,1.0831375984191896,61.84,96.13,0.17357001423835755
1.0238188027572632,1.1300641374588012,60.32,96.38,0.14213964700698853
0.9435936221313477,0.9937346570968628,65.55,97.35,0.12226425552368164
0.8901643995666504,1.0616385577201843,63.25,97.39,0.18439168119430538
0.8391701751518249,0.9122532478332519,68.54,98.12,0.11738726377487183
0.7890226563453674,0.8929229247093201,69.07,98.14,0.12600137615203857
0.7455915591812133,0.9406505377769471,68.87,97.58,0.15402336001396177
0.7057979501533508,0.8234348818778991,72.12,98.27,0.14119497489929203
