train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.3051269088745117,10.32,49.8,0.022456352204084394
1.0994367235183715,0.5246650032997131,83.86,99.01,0.026146815836429593
0.42708956718444824,0.3246355355262756,90.33,99.45,0.018618336081504826
0.2835111379146576,0.25228260254859924,92.62,99.63,0.024496096134185803
0.2184264066060384,0.20051603194475173,93.95,99.78,0.025708608031272888
0.18209296062787375,0.1636757406204939,95.0,99.82,0.019224512100219724
0.15375965769290925,0.14858067730665206,95.44,99.82,0.022652960002422336
0.13627297954559325,0.14470393524765968,95.41,99.86,0.024481535881757735
0.12174020779132844,0.13092122767269612,95.93,99.84,0.019880960017442703
0.11053630554676055,0.12695806677564977,96.07,99.85,0.03036060792207719
0.10156071997284889,0.1204157712303102,96.32,99.89,0.01953686404228211
