train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.3050413482666015,10.32,49.26,0.03225193598866463
1.721177735265096,0.6940217542171478,77.92,98.48,0.022180799841880795
0.5100483356634776,0.3840659773349762,88.5,99.15,0.01965878388285637
0.3624093230565389,0.3195254554271698,90.57,99.3,0.028476416051387784
0.30859189214706423,0.28120692920684814,91.92,99.45,0.034030591994524
0.274509469127655,0.25458125915527346,92.49,99.54,0.029226847946643833
0.2509462523301442,0.23342831988334656,93.17,99.58,0.021139360040426255
0.22818065384229025,0.2290501381635666,93.16,99.64,0.02145590391755104
0.21069796384175618,0.2033464760541916,93.87,99.71,0.026174528062343598
0.19581910921335222,0.19015883705615996,94.23,99.77,0.02618780812621117
0.18323172906239826,0.1820260233640671,94.52,99.79,0.0187095040678978
