train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.3073015495300293,10.32,49.08,0.025754944026470186
0.7296548436959585,0.28880763149261474,91.12,99.49,0.02941958385705948
0.24058749736150106,0.18839126017689706,94.19,99.77,0.027089567899703987
0.1638561684211095,0.14053097795248032,95.81,99.82,0.019903839945793155
0.12546313254038494,0.12390376049876213,96.34,99.82,0.018035232007503513
0.10127274684508641,0.12053633434399963,96.44,99.8,0.01769472000002861
0.08659326285521189,0.12736738987863064,96.2,99.85,0.020022239923477174
0.07574392692844073,0.09530161603912711,97.19,99.91,0.026598560005426413
0.0652948529501756,0.0974523199737072,97.12,99.92,0.023688352137804028
0.05852391021251679,0.10448387433998287,97.18,99.9,0.017809696078300474
0.05259676372508208,0.10294253630042076,97.1,99.92,0.02511667215824127
