train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.327997490692139,6.22,49.96,0.15089363217353816
1.6766273205947877,1.434281181716919,47.53,93.12,0.19647382426261906
1.3061138423156737,1.2155208456039428,57.02,95.23,0.1732699525356293
1.1259455353927612,1.0777479780197143,61.88,96.46,0.11483430409431457
1.02027591091156,1.0334674938201904,63.34,96.97,0.17460329627990726
0.9384103246688843,1.0358273365020751,63.97,97.2,0.11655990362167355
0.8826670272064209,0.9308632246017456,67.22,97.73,0.1696645441055298
0.8302600172424316,0.9075678978919983,67.95,97.94,0.11680972814559937
0.779336989364624,0.8518628643035888,71.04,97.98,0.14700435090065003
0.7380044857788086,0.824964519405365,72.27,97.98,0.1669343688488006
0.7048734154891968,0.8495391976356507,71.13,97.96,0.15161430406570436
