train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,77.17494665527343,10.0,50.01,0.17688467144966125
1.9626726947784423,1.6872414333343506,37.3,88.63,0.11664982461929321
1.5439526076507568,1.4593326992034912,46.92,92.55,0.11241772866249086
1.402466227874756,1.3426223594665527,51.2,94.02,0.1641306238174438
1.3093758124160766,1.2776609394073486,53.44,94.77,0.13698665595054627
1.2369076263046264,1.2176141635894775,55.33,95.33,0.1505557119846344
1.176754893951416,1.1617481800079346,57.85,95.79,0.17879974341392513
1.123223671798706,1.1028076795578003,60.76,95.96,0.21795334529876711
1.0799770239257813,1.0738528755187988,62.03,96.27,0.20498553586006169
1.0427275522613526,1.0504919178009033,62.38,96.57,0.2162872643470764
1.0073936336135865,1.0228885334014892,64.21,96.64,0.175329119682312
