train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,2.306854303741455,10.32,49.8,0.03024806410074234
1.1494943603833516,0.5150342897415161,84.33,98.44,0.02334006398916244
0.43522971464792887,0.35211182329654694,89.21,99.16,0.018919327974319458
0.3122044970671336,0.25856110088825224,92.34,99.58,0.03225187209248544
0.2486494658867518,0.2192095220565796,93.51,99.68,0.022462368130683894
0.21006441889603933,0.19449105342626571,94.3,99.78,0.03059302392601968
0.18237504179875055,0.18371415423452855,94.5,99.74,0.02591849610209464
0.1647030255317688,0.1610865445613861,94.99,99.82,0.03775788778066635
0.15028310486475627,0.15703948419243097,95.08,99.83,0.022179839938879013
0.1395586459537347,0.149273576066643,95.19,99.85,0.029337599933147433
0.12956191231409708,0.14521765039339662,95.45,99.81,0.022945695966482164
