train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,56.12592470092773,10.0,49.94,0.13595030331611635
1.7576987058258056,1.5245416219711303,45.28,91.28,0.15051772785186768
1.3765631686019897,1.377598966217041,51.19,93.89,0.10876620793342591
1.2129704879570007,1.1951199443817138,57.41,95.43,0.17196953606605536
1.0916739117050172,1.2223001932144164,58.5,95.88,0.1620172159671783
1.0075944302368165,1.0666676481246948,62.89,96.83,0.11546204853057865
0.9410278126525878,1.0254887775421142,65.43,96.7,0.13398723244667055
0.8828317434692383,0.9891287035942078,66.42,97.07,0.16695388698577876
0.8380661353683472,0.8811740947723389,69.89,97.97,0.11997180819511416
0.7837783394050598,0.9729192237854004,67.35,97.76,0.15307148838043216
0.7497154153060913,0.8130081366539001,72.42,98.07,0.11049673604965211
